x,y,median_button,summed_button,summed_button_BGsub,std_button,x_button_center,y_button_center,radius_button_disk,median_button_annulus,summed_button_annulus_normed,std_button_annulus_localBG,inner_radius_button_annulus,outer_radius_button_annulus,xslice,yslice,id,postwash_images
1,7,4458,1964530,37817,141,50,48,12,4398,1926713,211,12,12,"(1068, 1168)","(458, 558)",0_0,4
1,7,4400,1940621,42971,153,50,48,12,4329,1897650,210,12,12,"(1068, 1168)","(458, 558)",0_0,5
1,7,4427,1948323,39344,140,50,48,12,4356,1908979,205,12,12,"(1068, 1168)","(458, 558)",0_0,6
1,7,4383,1938534,33818,147,50,48,12,4343,1904716,202,12,12,"(1068, 1168)","(458, 558)",0_0,7
1,7,4343,1913821,36580,137,50,48,12,4280,1877241,198,12,12,"(1068, 1168)","(458, 558)",0_0,8
1,7,4384,1935676,34172,145,50,48,12,4333,1901504,200,12,12,"(1068, 1168)","(458, 558)",0_0,9
1,7,4307,1899786,33044,136,50,48,12,4259,1866742,193,12,12,"(1068, 1168)","(458, 558)",0_0,10
1,7,4334,1913863,28335,136,50,48,12,4298,1885528,192,12,12,"(1068, 1168)","(458, 558)",0_0,11
1,7,4327,1909148,33089,134,50,48,12,4270,1876059,187,12,12,"(1068, 1168)","(458, 558)",0_0,12
1,7,4267,1883228,28903,128,50,48,12,4229,1854325,189,12,12,"(1068, 1168)","(458, 558)",0_0,13
1,7,4318,1905303,32286,140,50,48,12,4264,1873017,186,12,12,"(1068, 1168)","(458, 558)",0_0,14
1,7,4252,1871320,24228,133,50,48,12,4208,1847092,182,12,12,"(1068, 1168)","(458, 558)",0_0,15
1,7,4285,1892437,31674,136,50,48,12,4240,1860763,178,12,12,"(1068, 1168)","(458, 558)",0_0,16
1,7,4235,1869130,26221,128,50,48,12,4193,1842909,177,12,12,"(1068, 1168)","(458, 558)",0_0,17
1,7,4247,1874948,31092,139,50,48,12,4199,1843856,177,12,12,"(1068, 1168)","(458, 558)",0_0,18
1,7,4257,1878314,27211,136,50,48,12,4209,1851103,179,12,12,"(1068, 1168)","(458, 558)",0_0,19
1,8,4768,2178839,238294,547,50,47,12,4424,1940545,226,12,12,"(1168, 1268)","(458, 558)",0_0,0
1,8,4625,2108495,204322,464,50,47,12,4340,1904173,216,12,12,"(1168, 1268)","(458, 558)",0_0,1
1,8,4506,2038668,157160,369,50,47,12,4292,1881508,214,12,12,"(1168, 1268)","(458, 558)",0_0,2
1,8,4499,2014370,127206,303,50,47,12,4297,1887164,210,12,12,"(1168, 1268)","(458, 558)",0_0,3
1,8,4452,1981774,95821,242,50,47,12,4295,1885953,211,12,12,"(1168, 1268)","(458, 558)",0_0,4
1,8,4356,1931028,75660,199,50,47,12,4227,1855368,204,12,12,"(1168, 1268)","(458, 558)",0_0,5
1,8,4332,1920109,57143,165,50,47,12,4239,1862966,206,12,12,"(1168, 1268)","(458, 558)",0_0,6
1,8,4302,1900972,41825,161,50,47,12,4235,1859147,197,12,12,"(1168, 1268)","(458, 558)",0_0,7
1,8,4230,1865667,33097,131,50,47,12,4177,1832570,198,12,12,"(1168, 1268)","(458, 558)",0_0,8
1,8,4268,1884894,29602,142,50,47,12,4224,1855292,187,12,12,"(1168, 1268)","(458, 558)",0_0,9
1,8,4185,1846149,24979,141,50,47,12,4149,1821170,191,12,12,"(1168, 1268)","(458, 558)",0_0,10
1,8,4210,1859988,23452,138,50,47,12,4178,1836536,188,12,12,"(1168, 1268)","(458, 558)",0_0,11
1,8,4188,1850004,22613,129,50,47,12,4155,1827391,183,12,12,"(1168, 1268)","(458, 558)",0_0,12
1,8,4136,1824839,17901,136,50,47,12,4112,1806938,183,12,12,"(1168, 1268)","(458, 558)",0_0,13
1,8,4181,1842563,15043,130,50,47,12,4155,1827520,189,12,12,"(1168, 1268)","(458, 558)",0_0,14
1,8,4126,1818809,19452,126,50,47,12,4096,1799357,177,12,12,"(1168, 1268)","(458, 558)",0_0,15
1,8,4131,1826759,16275,137,50,47,12,4118,1810484,181,12,12,"(1168, 1268)","(458, 558)",0_0,16
1,8,4107,1809724,16093,129,50,47,12,4084,1793631,177,12,12,"(1168, 1268)","(458, 558)",0_0,17
1,8,4109,1808833,12449,128,50,47,12,4084,1796384,179,12,12,"(1168, 1268)","(458, 558)",0_0,18
1,8,4131,1820543,18714,124,50,47,12,4101,1801829,178,12,12,"(1168, 1268)","(458, 558)",0_0,19
1,9,12011,5215375,3263777,4652,50,48,12,4424,1951598,278,12,12,"(1267, 1367)","(458, 558)",32_8,0
1,9,10632,4746121,2840309,4119,50,48,12,4328,1905812,265,12,12,"(1267, 1367)","(458, 558)",32_8,1
1,9,9332,4243297,2365316,3481,50,48,12,4263,1877981,249,12,12,"(1267, 1367)","(458, 558)",32_8,2
1,9,8567,3843030,1965693,2929,50,48,12,4270,1877337,238,12,12,"(1267, 1367)","(458, 558)",32_8,3
1,9,7778,3514442,1641597,2477,50,48,12,4251,1872845,225,12,12,"(1267, 1367)","(458, 558)",32_8,4
1,9,7060,3199406,1361558,2040,50,48,12,4177,1837848,216,12,12,"(1267, 1367)","(458, 558)",32_8,5
1,9,6624,3000582,1157770,1739,50,48,12,4193,1842812,212,12,12,"(1267, 1367)","(458, 558)",32_8,6
1,9,6322,2834624,993275,1498,50,48,12,4196,1841349,209,12,12,"(1267, 1367)","(458, 558)",32_8,7
1,9,5942,2664229,852682,1288,50,48,12,4125,1811547,206,12,12,"(1267, 1367)","(458, 558)",32_8,8
1,9,5770,2589487,759933,1138,50,48,12,4158,1829554,204,12,12,"(1267, 1367)","(458, 558)",32_8,9
1,9,5481,2468720,671898,1009,50,48,12,4088,1796822,198,12,12,"(1267, 1367)","(458, 558)",32_8,10
1,9,5408,2414045,601798,892,50,48,12,4124,1812247,193,12,12,"(1267, 1367)","(458, 558)",32_8,11
1,9,5246,2347837,545969,822,50,48,12,4101,1801868,191,12,12,"(1267, 1367)","(458, 558)",32_8,12
1,9,5055,2268889,488270,732,50,48,12,4048,1780619,190,12,12,"(1267, 1367)","(458, 558)",32_8,13
1,9,5064,2251381,451366,687,50,48,12,4092,1800015,187,12,12,"(1267, 1367)","(458, 558)",32_8,14
1,9,4894,2188166,414130,620,50,48,12,4034,1774036,188,12,12,"(1267, 1367)","(458, 558)",32_8,15
1,9,4851,2167725,384188,574,50,48,12,4057,1783537,190,12,12,"(1267, 1367)","(458, 558)",32_8,16
1,9,4762,2122071,356722,526,50,48,12,4012,1765349,189,12,12,"(1267, 1367)","(458, 558)",32_8,17
1,9,4710,2091649,325641,501,50,48,12,4014,1766008,183,12,12,"(1267, 1367)","(458, 558)",32_8,18
1,9,4713,2080684,309476,476,50,48,12,4031,1771208,184,12,12,"(1267, 1367)","(458, 558)",32_8,19
